image_no,label,prediction,cosine_dist
46.0,5.0,6.0,0.06017798185348511
8.0,6.0,5.0,0.04548579454421997
9.0,6.0,5.0,0.04548579454421997
16.0,6.0,977.0,0.2430751919746399
18.0,6.0,5.0,0.04548579454421997
20.0,6.0,5.0,0.04548579454421997
21.0,6.0,5.0,0.04548579454421997
28.0,6.0,5.0,0.04548579454421997
31.0,6.0,4.0,0.2986496090888977
33.0,6.0,5.0,0.04548579454421997
36.0,6.0,983.0,0.38229674100875854
37.0,6.0,394.0,0.44526731967926025
45.0,6.0,390.0,0.4317631721496582
48.0,6.0,5.0,0.04548579454421997
2.0,7.0,8.0,0.03822362422943115
4.0,7.0,8.0,0.03822362422943115
6.0,7.0,8.0,0.03822362422943115
13.0,7.0,8.0,0.03822362422943115
18.0,7.0,90.0,0.5062413811683655
21.0,7.0,8.0,0.03822362422943115
22.0,7.0,8.0,0.03822362422943115
24.0,7.0,8.0,0.03822362422943115
30.0,7.0,84.0,0.8331785202026367
31.0,7.0,8.0,0.03822362422943115
38.0,7.0,8.0,0.03822362422943115
39.0,7.0,8.0,0.03822362422943115
42.0,7.0,84.0,0.8331785202026367
49.0,7.0,8.0,0.03822362422943115
0.0,8.0,7.0,0.038695454597473145
3.0,8.0,7.0,0.038695454597473145
8.0,8.0,7.0,0.038695454597473145
10.0,8.0,7.0,0.038695454597473145
11.0,8.0,7.0,0.038695454597473145
12.0,8.0,7.0,0.038695454597473145
15.0,8.0,7.0,0.038695454597473145
28.0,8.0,137.0,0.8124792575836182
30.0,8.0,7.0,0.038695454597473145
33.0,8.0,7.0,0.038695454597473145
35.0,8.0,7.0,0.038695454597473145
36.0,8.0,7.0,0.038695454597473145
44.0,8.0,7.0,0.038695454597473145
46.0,8.0,594.0,0.6638056039810181
49.0,8.0,7.0,0.038695454597473145
2.0,10.0,12.0,0.14099013805389404
3.0,10.0,13.0,0.15766668319702148
23.0,10.0,11.0,0.14789003133773804
33.0,10.0,140.0,0.31082695722579956
46.0,10.0,13.0,0.15766668319702148
27.0,11.0,10.0,0.14285796880722046
14.0,12.0,15.0,0.30672281980514526
15.0,12.0,95.0,1.373676061630249
36.0,12.0,10.0,0.03761589527130127
27.0,13.0,18.0,0.5397778153419495
0.0,14.0,379.0,1.4022639989852905
38.0,14.0,91.0,0.35083746910095215
38.0,14.0,94.0,0.5996310710906982
33.0,15.0,85.0,0.35424500703811646
40.0,15.0,10.0,0.16498404741287231
48.0,15.0,10.0,0.16498404741287231
48.0,15.0,12.0,0.38528770208358765
1.0,16.0,23.0,1.0283021926879883
3.0,16.0,94.0,0.20220011472702026
8.0,16.0,15.0,0.37628334760665894
14.0,16.0,22.0,1.027800440788269
17.0,16.0,17.0,0.16393107175827026
26.0,16.0,13.0,0.2864627242088318
44.0,16.0,91.0,0.2363489270210266
3.0,17.0,131.0,0.3940465450286865
22.0,17.0,10.0,1.0448659658432007
23.0,17.0,18.0,0.14616912603378296
38.0,17.0,14.0,0.2998543381690979
49.0,17.0,18.0,0.14616912603378296
24.0,18.0,13.0,0.5103214979171753
41.0,18.0,13.0,0.5103214979171753
48.0,18.0,352.0,1.4591655731201172
48.0,18.0,353.0,1.2729177474975586
0.0,20.0,13.0,0.3526722192764282
31.0,20.0,10.0,0.5803474187850952
36.0,20.0,139.0,0.23875951766967773
36.0,20.0,140.0,0.27655500173568726
39.0,20.0,364.0,0.5318665504455566
40.0,20.0,95.0,0.6483508348464966
41.0,20.0,94.0,0.6738029718399048
49.0,20.0,137.0,0.45268476009368896
9.0,21.0,23.0,0.21718519926071167
13.0,21.0,22.0,0.14198577404022217
14.0,21.0,23.0,0.21718519926071167
19.0,21.0,23.0,0.21718519926071167
23.0,21.0,7.0,1.1263070106506348
26.0,21.0,22.0,0.14198577404022217
28.0,21.0,138.0,0.333543062210083
34.0,21.0,22.0,0.14198577404022217
17.0,22.0,21.0,0.05461525917053223
25.0,23.0,21.0,0.14850884675979614
26.0,23.0,21.0,0.14850884675979614
37.0,23.0,144.0,0.44968193769454956
45.0,23.0,84.0,0.5497162342071533
41.0,24.0,802.0,1.090742826461792
5.0,25.0,28.0,0.01495504379272461
14.0,25.0,28.0,0.01495504379272461
45.0,25.0,28.0,0.01495504379272461
46.0,25.0,28.0,0.01495504379272461
49.0,25.0,26.0,0.04011565446853638
1.0,26.0,27.0,0.04625821113586426
8.0,26.0,27.0,0.04625821113586426
10.0,26.0,28.0,0.16631722450256348
11.0,26.0,25.0,0.0587119460105896
11.0,26.0,28.0,0.16631722450256348
13.0,26.0,29.0,0.1540037989616394
14.0,26.0,28.0,0.16631722450256348
17.0,26.0,25.0,0.0587119460105896
19.0,26.0,28.0,0.16631722450256348
20.0,26.0,28.0,0.16631722450256348
26.0,26.0,25.0,0.0587119460105896
28.0,26.0,29.0,0.1540037989616394
31.0,26.0,311.0,0.9883557558059692
31.0,26.0,312.0,0.873915433883667
34.0,26.0,28.0,0.16631722450256348
35.0,26.0,27.0,0.04625821113586426
41.0,26.0,29.0,0.1540037989616394
43.0,26.0,28.0,0.16631722450256348
44.0,26.0,28.0,0.16631722450256348
46.0,26.0,27.0,0.04625821113586426
49.0,26.0,390.0,0.4568482041358948
0.0,27.0,26.0,0.06752532720565796
1.0,27.0,26.0,0.06752532720565796
11.0,27.0,26.0,0.06752532720565796
11.0,27.0,307.0,0.8895805478096008
13.0,27.0,26.0,0.06752532720565796
16.0,27.0,26.0,0.06752532720565796
25.0,27.0,41.0,0.9203329086303711
29.0,27.0,26.0,0.06752532720565796
33.0,27.0,26.0,0.06752532720565796
33.0,27.0,32.0,0.4607622027397156
35.0,27.0,455.0,0.9050562977790833
36.0,27.0,26.0,0.06752532720565796
36.0,27.0,390.0,0.9438801407814026
45.0,27.0,26.0,0.06752532720565796
48.0,27.0,26.0,0.06752532720565796
4.0,28.0,25.0,0.1231110692024231
30.0,28.0,25.0,0.1231110692024231
31.0,28.0,25.0,0.1231110692024231
32.0,28.0,116.0,0.6820861101150513
44.0,28.0,211.0,0.764336109161377
10.0,29.0,390.0,0.3154463768005371
16.0,29.0,633.0,1.068477749824524
32.0,29.0,26.0,0.1368492841720581
41.0,29.0,329.0,0.8652946352958679
41.0,29.0,390.0,0.3154463768005371
47.0,29.0,26.0,0.1368492841720581
49.0,29.0,42.0,0.439941942691803
0.0,30.0,131.0,0.7724675536155701
8.0,30.0,31.0,0.17073607444763184
8.0,30.0,32.0,0.034634947776794434
17.0,30.0,58.0,0.27446627616882324
24.0,30.0,32.0,0.034634947776794434
29.0,30.0,59.0,0.9414552450180054
31.0,30.0,32.0,0.034634947776794434
40.0,30.0,32.0,0.034634947776794434
49.0,30.0,31.0,0.17073607444763184
0.0,31.0,32.0,0.05608642101287842
18.0,31.0,32.0,0.05608642101287842
24.0,31.0,32.0,0.05608642101287842
28.0,31.0,40.0,0.29652464389801025
33.0,31.0,30.0,0.10236138105392456
39.0,31.0,944.0,0.8302723169326782
1.0,32.0,31.0,0.0839734673500061
2.0,32.0,125.0,1.0742853879928589
2.0,32.0,988.0,0.6445187330245972
3.0,32.0,30.0,0.06477558612823486
5.0,32.0,30.0,0.06477558612823486
6.0,32.0,31.0,0.0839734673500061
8.0,32.0,30.0,0.06477558612823486
10.0,32.0,30.0,0.06477558612823486
11.0,32.0,31.0,0.0839734673500061
12.0,32.0,30.0,0.06477558612823486
13.0,32.0,29.0,0.4877316355705261
14.0,32.0,31.0,0.0839734673500061
15.0,32.0,30.0,0.06477558612823486
18.0,32.0,30.0,0.06477558612823486
21.0,32.0,30.0,0.06477558612823486
25.0,32.0,26.0,0.17029988765716553
26.0,32.0,40.0,0.4603159427642822
26.0,32.0,46.0,0.5497694611549377
27.0,32.0,58.0,0.4653703570365906
30.0,32.0,26.0,0.17029988765716553
32.0,32.0,30.0,0.06477558612823486
33.0,32.0,31.0,0.0839734673500061
34.0,32.0,30.0,0.06477558612823486
35.0,32.0,31.0,0.0839734673500061
37.0,32.0,31.0,0.0839734673500061
39.0,32.0,31.0,0.0839734673500061
40.0,32.0,49.0,0.4708902835845947
41.0,32.0,30.0,0.06477558612823486
42.0,32.0,30.0,0.06477558612823486
42.0,32.0,58.0,0.4653703570365906
43.0,32.0,30.0,0.06477558612823486
43.0,32.0,31.0,0.0839734673500061
46.0,32.0,26.0,0.17029988765716553
47.0,32.0,30.0,0.06477558612823486
48.0,32.0,314.0,0.8489593267440796
5.0,33.0,983.0,0.2778061628341675
6.0,33.0,34.0,0.015979886054992676
9.0,33.0,34.0,0.015979886054992676
21.0,33.0,34.0,0.015979886054992676
22.0,33.0,467.0,0.9002693891525269
28.0,33.0,360.0,0.7335968613624573
31.0,33.0,36.0,0.09611797332763672
33.0,33.0,397.0,0.5534409284591675
36.0,33.0,973.0,0.3467751145362854
42.0,33.0,36.0,0.09611797332763672
48.0,33.0,983.0,0.2778061628341675
2.0,34.0,36.0,0.27969855070114136
2.0,34.0,37.0,0.7062272429466248
3.0,34.0,36.0,0.27969855070114136
4.0,34.0,36.0,0.27969855070114136
7.0,34.0,147.0,0.23508918285369873
8.0,34.0,219.0,1.1480904817581177
9.0,34.0,33.0,0.094551682472229
11.0,34.0,122.0,1.2595365047454834
12.0,34.0,33.0,0.094551682472229
15.0,34.0,49.0,0.7044589519500732
16.0,34.0,980.0,0.8718209266662598
31.0,34.0,33.0,0.094551682472229
35.0,34.0,35.0,0.30562520027160645
35.0,34.0,36.0,0.27969855070114136
41.0,34.0,33.0,0.094551682472229
44.0,34.0,33.0,0.094551682472229
48.0,34.0,4.0,0.5090718865394592
2.0,35.0,36.0,0.043021559715270996
3.0,35.0,33.0,0.11634588241577148
4.0,35.0,36.0,0.043021559715270996
5.0,35.0,36.0,0.043021559715270996
11.0,35.0,36.0,0.043021559715270996
13.0,35.0,36.0,0.043021559715270996
18.0,35.0,36.0,0.043021559715270996
20.0,35.0,37.0,0.05323857069015503
21.0,35.0,37.0,0.05323857069015503
24.0,35.0,36.0,0.043021559715270996
25.0,35.0,36.0,0.043021559715270996
26.0,35.0,386.0,1.2559831142425537
27.0,35.0,36.0,0.043021559715270996
29.0,35.0,36.0,0.043021559715270996
32.0,35.0,6.0,0.9256020784378052
34.0,35.0,37.0,0.05323857069015503
35.0,35.0,36.0,0.043021559715270996
39.0,35.0,37.0,0.05323857069015503
42.0,35.0,36.0,0.043021559715270996
45.0,35.0,36.0,0.043021559715270996
45.0,35.0,37.0,0.05323857069015503
0.0,36.0,35.0,0.03899186849594116
1.0,36.0,37.0,0.09454309940338135
2.0,36.0,35.0,0.03899186849594116
3.0,36.0,35.0,0.03899186849594116
4.0,36.0,35.0,0.03899186849594116
6.0,36.0,35.0,0.03899186849594116
7.0,36.0,37.0,0.09454309940338135
9.0,36.0,37.0,0.09454309940338135
11.0,36.0,37.0,0.09454309940338135
12.0,36.0,35.0,0.03899186849594116
14.0,36.0,37.0,0.09454309940338135
17.0,36.0,33.0,0.10771095752716064
20.0,36.0,35.0,0.03899186849594116
24.0,36.0,35.0,0.03899186849594116
24.0,36.0,37.0,0.09454309940338135
26.0,36.0,35.0,0.03899186849594116
27.0,36.0,35.0,0.03899186849594116
29.0,36.0,35.0,0.03899186849594116
31.0,36.0,35.0,0.03899186849594116
31.0,36.0,37.0,0.09454309940338135
32.0,36.0,35.0,0.03899186849594116
34.0,36.0,35.0,0.03899186849594116
35.0,36.0,35.0,0.03899186849594116
36.0,36.0,35.0,0.03899186849594116
37.0,36.0,35.0,0.03899186849594116
39.0,36.0,50.0,0.5680135488510132
39.0,36.0,394.0,0.8432876467704773
42.0,36.0,37.0,0.09454309940338135
43.0,36.0,37.0,0.09454309940338135
44.0,36.0,35.0,0.03899186849594116
45.0,36.0,37.0,0.09454309940338135
47.0,36.0,35.0,0.03899186849594116
48.0,36.0,35.0,0.03899186849594116
49.0,36.0,35.0,0.03899186849594116
0.0,37.0,35.0,0.034270524978637695
0.0,37.0,36.0,0.0406421422958374
15.0,37.0,35.0,0.034270524978637695
15.0,37.0,36.0,0.0406421422958374
18.0,37.0,35.0,0.034270524978637695
21.0,37.0,36.0,0.0406421422958374
36.0,37.0,35.0,0.034270524978637695
36.0,37.0,36.0,0.0406421422958374
39.0,37.0,35.0,0.034270524978637695
42.0,37.0,938.0,0.2990202307701111
45.0,37.0,36.0,0.0406421422958374
48.0,37.0,35.0,0.034270524978637695
0.0,38.0,119.0,1.1107635498046875
4.0,38.0,26.0,0.28535735607147217
15.0,38.0,41.0,0.10950672626495361
20.0,38.0,56.0,0.47764432430267334
21.0,38.0,42.0,0.2582995295524597
26.0,38.0,56.0,0.47764432430267334
26.0,38.0,63.0,1.2616926431655884
33.0,38.0,56.0,0.47764432430267334
44.0,38.0,397.0,0.6562417149543762
47.0,38.0,40.0,0.19899505376815796
49.0,38.0,47.0,0.37280285358428955
4.0,39.0,46.0,0.12245523929595947
7.0,39.0,46.0,0.12245523929595947
10.0,39.0,46.0,0.12245523929595947
12.0,39.0,46.0,0.12245523929595947
17.0,39.0,46.0,0.12245523929595947
18.0,39.0,46.0,0.12245523929595947
23.0,39.0,40.0,0.4329625368118286
23.0,39.0,46.0,0.12245523929595947
34.0,39.0,46.0,0.12245523929595947
38.0,39.0,119.0,1.0077029466629028
44.0,39.0,46.0,0.12245523929595947
0.0,40.0,46.0,0.012346446514129639
1.0,40.0,46.0,0.012346446514129639
3.0,40.0,46.0,0.012346446514129639
4.0,40.0,44.0,0.1649177074432373
5.0,40.0,46.0,0.012346446514129639
6.0,40.0,46.0,0.012346446514129639
7.0,40.0,46.0,0.012346446514129639
10.0,40.0,46.0,0.012346446514129639
11.0,40.0,46.0,0.012346446514129639
12.0,40.0,46.0,0.012346446514129639
14.0,40.0,46.0,0.012346446514129639
15.0,40.0,677.0,0.9729832410812378
17.0,40.0,46.0,0.012346446514129639
18.0,40.0,46.0,0.012346446514129639
19.0,40.0,46.0,0.012346446514129639
21.0,40.0,46.0,0.012346446514129639
22.0,40.0,46.0,0.012346446514129639
24.0,40.0,46.0,0.012346446514129639
26.0,40.0,46.0,0.012346446514129639
27.0,40.0,46.0,0.012346446514129639
28.0,40.0,46.0,0.012346446514129639
29.0,40.0,46.0,0.012346446514129639
30.0,40.0,46.0,0.012346446514129639
31.0,40.0,46.0,0.012346446514129639
32.0,40.0,46.0,0.012346446514129639
33.0,40.0,46.0,0.012346446514129639
34.0,40.0,46.0,0.012346446514129639
35.0,40.0,46.0,0.012346446514129639
36.0,40.0,46.0,0.012346446514129639
38.0,40.0,46.0,0.012346446514129639
40.0,40.0,46.0,0.012346446514129639
41.0,40.0,46.0,0.012346446514129639
43.0,40.0,46.0,0.012346446514129639
44.0,40.0,43.0,0.44771164655685425
45.0,40.0,46.0,0.012346446514129639
46.0,40.0,46.0,0.012346446514129639
47.0,40.0,46.0,0.012346446514129639
48.0,40.0,46.0,0.012346446514129639
49.0,40.0,46.0,0.012346446514129639
0.0,41.0,39.0,0.25787365436553955
0.0,41.0,45.0,0.3564642667770386
0.0,41.0,48.0,0.4686621427536011
3.0,41.0,39.0,0.25787365436553955
10.0,41.0,49.0,0.864841639995575
18.0,41.0,42.0,0.17741739749908447
25.0,41.0,42.0,0.17741739749908447
32.0,41.0,39.0,0.25787365436553955
38.0,41.0,42.0,0.17741739749908447
1.0,42.0,47.0,0.35950005054473877
2.0,42.0,39.0,0.2993873953819275
2.0,42.0,46.0,0.17994248867034912
4.0,42.0,46.0,0.17994248867034912
8.0,42.0,41.0,0.28182268142700195
19.0,42.0,26.0,0.22857969999313354
26.0,42.0,40.0,0.24346256256103516
30.0,42.0,41.0,0.28182268142700195
31.0,42.0,41.0,0.28182268142700195
34.0,42.0,43.0,0.2004290223121643
36.0,42.0,41.0,0.28182268142700195
48.0,42.0,46.0,0.17994248867034912
0.0,43.0,39.0,0.1615506410598755
0.0,43.0,42.0,0.14891743659973145
3.0,43.0,39.0,0.1615506410598755
5.0,43.0,42.0,0.14891743659973145
25.0,43.0,39.0,0.1615506410598755
29.0,43.0,39.0,0.1615506410598755
32.0,43.0,42.0,0.14891743659973145
32.0,43.0,48.0,0.20548343658447266
35.0,43.0,39.0,0.1615506410598755
1.0,44.0,40.0,0.34769517183303833
3.0,44.0,41.0,0.14001846313476562
4.0,44.0,42.0,0.23547214269638062
9.0,44.0,57.0,0.42958498001098633
12.0,44.0,54.0,0.36806899309158325
12.0,44.0,67.0,0.8803307414054871
16.0,44.0,40.0,0.34769517183303833
19.0,44.0,596.0,0.8902458548545837
20.0,44.0,42.0,0.23547214269638062
22.0,44.0,48.0,0.7286695241928101
25.0,44.0,102.0,1.0277835130691528
25.0,44.0,105.0,1.149275779724121
29.0,44.0,41.0,0.14001846313476562
30.0,44.0,46.0,0.2253609299659729
41.0,44.0,42.0,0.23547214269638062
43.0,44.0,46.0,0.2253609299659729
46.0,44.0,41.0,0.14001846313476562
0.0,45.0,48.0,0.4532560706138611
6.0,45.0,44.0,0.4018869996070862
9.0,45.0,48.0,0.4532560706138611
12.0,45.0,738.0,0.7947506904602051
17.0,45.0,69.0,0.6352871060371399
19.0,45.0,56.0,0.6182036399841309
19.0,45.0,67.0,0.6205649375915527
20.0,45.0,39.0,0.4652596116065979
32.0,45.0,48.0,0.4532560706138611
44.0,45.0,666.0,1.1968650817871094
44.0,45.0,783.0,0.9344986081123352
47.0,45.0,48.0,0.4532560706138611
1.0,46.0,41.0,0.23464202880859375
1.0,46.0,44.0,0.1720777153968811
2.0,46.0,40.0,0.035917818546295166
3.0,46.0,40.0,0.035917818546295166
4.0,46.0,47.0,0.20604461431503296
6.0,46.0,40.0,0.035917818546295166
7.0,46.0,42.0,0.14603900909423828
9.0,46.0,39.0,0.1501622200012207
12.0,46.0,40.0,0.035917818546295166
14.0,46.0,39.0,0.1501622200012207
15.0,46.0,39.0,0.1501622200012207
16.0,46.0,40.0,0.035917818546295166
17.0,46.0,40.0,0.035917818546295166
21.0,46.0,42.0,0.14603900909423828
22.0,46.0,48.0,0.38210785388946533
23.0,46.0,40.0,0.035917818546295166
25.0,46.0,40.0,0.035917818546295166
26.0,46.0,40.0,0.035917818546295166
27.0,46.0,40.0,0.035917818546295166
28.0,46.0,44.0,0.1720777153968811
29.0,46.0,40.0,0.035917818546295166
30.0,46.0,40.0,0.035917818546295166
31.0,46.0,47.0,0.20604461431503296
33.0,46.0,42.0,0.14603900909423828
35.0,46.0,40.0,0.035917818546295166
36.0,46.0,40.0,0.035917818546295166
39.0,46.0,40.0,0.035917818546295166
41.0,46.0,40.0,0.035917818546295166
42.0,46.0,40.0,0.035917818546295166
42.0,46.0,43.0,0.3164186477661133
43.0,46.0,40.0,0.035917818546295166
45.0,46.0,40.0,0.035917818546295166
46.0,46.0,40.0,0.035917818546295166
47.0,46.0,40.0,0.035917818546295166
48.0,46.0,40.0,0.035917818546295166
49.0,46.0,317.0,0.8274892568588257
10.0,47.0,488.0,0.7493587732315063
11.0,47.0,42.0,0.24323272705078125
17.0,47.0,40.0,0.14830881357192993
20.0,47.0,54.0,0.7617424726486206
27.0,47.0,46.0,0.12470638751983643
28.0,47.0,42.0,0.24323272705078125
28.0,47.0,43.0,0.29491740465164185
29.0,47.0,48.0,0.3656196594238281
31.0,47.0,313.0,0.4295060634613037
35.0,47.0,42.0,0.24323272705078125
39.0,47.0,42.0,0.24323272705078125
45.0,47.0,120.0,1.3851138353347778
45.0,47.0,319.0,0.6827951073646545
45.0,47.0,320.0,1.0337318181991577
9.0,48.0,39.0,0.2588639259338379
22.0,48.0,50.0,0.3973934054374695
42.0,48.0,39.0,0.2588639259338379
45.0,48.0,50.0,0.3973934054374695
0.0,49.0,50.0,0.06646573543548584
6.0,49.0,50.0,0.06646573543548584
10.0,49.0,50.0,0.06646573543548584
15.0,49.0,50.0,0.06646573543548584
17.0,49.0,346.0,0.5212616920471191
19.0,49.0,973.0,1.0605021715164185
22.0,49.0,50.0,0.06646573543548584
24.0,49.0,50.0,0.06646573543548584
32.0,49.0,50.0,0.06646573543548584
34.0,49.0,975.0,0.5924271941184998
35.0,49.0,562.0,1.1488393545150757
36.0,49.0,35.0,0.6232625842094421
37.0,49.0,50.0,0.06646573543548584
38.0,49.0,54.0,1.0846630334854126
43.0,49.0,50.0,0.06646573543548584
45.0,49.0,330.0,1.1735504865646362
46.0,49.0,143.0,0.8532220721244812
49.0,49.0,50.0,0.06646573543548584
6.0,50.0,49.0,0.04062294960021973
17.0,50.0,49.0,0.04062294960021973
34.0,50.0,49.0,0.04062294960021973
35.0,50.0,49.0,0.04062294960021973
37.0,50.0,49.0,0.04062294960021973
43.0,50.0,49.0,0.04062294960021973
48.0,50.0,49.0,0.04062294960021973
49.0,50.0,49.0,0.04062294960021973
5.0,51.0,562.0,0.6406440138816833
27.0,51.0,39.0,0.7579646706581116
12.0,52.0,56.0,0.3034607172012329
16.0,52.0,60.0,0.11861991882324219
17.0,52.0,60.0,0.11861991882324219
24.0,52.0,53.0,0.1224249005317688
25.0,52.0,53.0,0.1224249005317688
26.0,52.0,60.0,0.11861991882324219
28.0,52.0,53.0,0.1224249005317688
34.0,52.0,56.0,0.3034607172012329
35.0,52.0,111.0,0.23788410425186157
38.0,52.0,120.0,0.9492163062095642
42.0,52.0,441.0,1.2157658338546753
43.0,52.0,53.0,0.1224249005317688
12.0,53.0,52.0,0.06668370962142944
16.0,53.0,58.0,0.18886882066726685
17.0,53.0,119.0,1.1546381711959839
22.0,53.0,57.0,0.2532508969306946
28.0,53.0,65.0,0.16233527660369873
30.0,53.0,52.0,0.06668370962142944
32.0,53.0,52.0,0.06668370962142944
34.0,53.0,759.0,0.8933496475219727
37.0,53.0,539.0,0.9125239253044128
37.0,53.0,640.0,1.0115470886230469
39.0,53.0,52.0,0.06668370962142944
2.0,54.0,66.0,0.2090131640434265
2.0,54.0,68.0,0.16613233089447021
5.0,54.0,57.0,0.48451143503189087
6.0,54.0,60.0,0.12674248218536377
11.0,54.0,60.0,0.12674248218536377
14.0,54.0,66.0,0.2090131640434265
17.0,54.0,52.0,0.2569829821586609
19.0,54.0,56.0,0.15257620811462402
23.0,54.0,67.0,0.23770952224731445
23.0,54.0,68.0,0.16613233089447021
28.0,54.0,53.0,0.21727663278579712
30.0,54.0,57.0,0.48451143503189087
31.0,54.0,57.0,0.48451143503189087
32.0,54.0,57.0,0.48451143503189087
33.0,54.0,56.0,0.15257620811462402
35.0,54.0,66.0,0.2090131640434265
37.0,54.0,66.0,0.2090131640434265
37.0,54.0,68.0,0.16613233089447021
40.0,54.0,60.0,0.12674248218536377
41.0,54.0,61.0,0.34187519550323486
43.0,54.0,67.0,0.23770952224731445
44.0,54.0,57.0,0.48451143503189087
49.0,54.0,68.0,0.16613233089447021
2.0,55.0,59.0,0.06743514537811279
3.0,55.0,64.0,0.0466461181640625
7.0,55.0,64.0,0.0466461181640625
9.0,55.0,59.0,0.06743514537811279
11.0,55.0,64.0,0.0466461181640625
14.0,55.0,64.0,0.0466461181640625
16.0,55.0,64.0,0.0466461181640625
17.0,55.0,64.0,0.0466461181640625
21.0,55.0,59.0,0.06743514537811279
25.0,55.0,59.0,0.06743514537811279
26.0,55.0,59.0,0.06743514537811279
27.0,55.0,64.0,0.0466461181640625
30.0,55.0,64.0,0.0466461181640625
31.0,55.0,58.0,0.4909541606903076
32.0,55.0,64.0,0.0466461181640625
33.0,55.0,64.0,0.0466461181640625
34.0,55.0,64.0,0.0466461181640625
36.0,55.0,64.0,0.0466461181640625
37.0,55.0,59.0,0.06743514537811279
39.0,55.0,64.0,0.0466461181640625
40.0,55.0,40.0,0.4841676950454712
47.0,55.0,64.0,0.0466461181640625
48.0,55.0,64.0,0.0466461181640625
2.0,56.0,54.0,0.136211097240448
14.0,56.0,61.0,0.1662982702255249
19.0,56.0,53.0,0.07984769344329834
26.0,56.0,79.0,0.5604636669158936
30.0,56.0,54.0,0.136211097240448
31.0,56.0,63.0,0.38820433616638184
33.0,56.0,60.0,0.05693697929382324
49.0,56.0,64.0,0.6262831687927246
6.0,57.0,313.0,0.5430002212524414
9.0,57.0,49.0,1.5592899322509766
11.0,57.0,60.0,0.0664067268371582
1.0,58.0,62.0,0.12244844436645508
3.0,58.0,63.0,0.18867480754852295
7.0,58.0,60.0,0.1336582899093628
14.0,58.0,53.0,0.05373352766036987
15.0,58.0,44.0,0.3917434811592102
26.0,58.0,60.0,0.1336582899093628
30.0,58.0,52.0,0.10931402444839478
41.0,58.0,952.0,1.5619511604309082
43.0,58.0,27.0,0.5776921510696411
44.0,58.0,54.0,0.23403143882751465
44.0,58.0,60.0,0.1336582899093628
47.0,58.0,63.0,0.18867480754852295
1.0,59.0,55.0,0.03723788261413574
2.0,59.0,60.0,0.14240068197250366
3.0,59.0,55.0,0.03723788261413574
9.0,59.0,55.0,0.03723788261413574
12.0,59.0,55.0,0.03723788261413574
14.0,59.0,55.0,0.03723788261413574
17.0,59.0,311.0,1.0209987163543701
25.0,59.0,53.0,0.4711408019065857
28.0,59.0,60.0,0.14240068197250366
29.0,59.0,40.0,0.28397053480148315
30.0,59.0,916.0,1.0787640810012817
32.0,59.0,57.0,0.5287712812423706
35.0,59.0,55.0,0.03723788261413574
35.0,59.0,64.0,0.13406968116760254
37.0,59.0,55.0,0.03723788261413574
38.0,59.0,58.0,0.5772137641906738
39.0,59.0,52.0,0.3538232445716858
40.0,59.0,40.0,0.28397053480148315
40.0,59.0,46.0,0.2988201379776001
41.0,59.0,55.0,0.03723788261413574
49.0,59.0,645.0,1.07783842086792
49.0,59.0,882.0,1.1177117824554443
4.0,60.0,66.0,0.12910151481628418
4.0,60.0,68.0,0.12074851989746094
6.0,60.0,55.0,0.39180630445480347
